Year,Type,Country,Sex,Age,Fatal,Species
2016,Unprovoked,USA,Male,16.0,No,nan
2016,Unprovoked,AUSTRALIA,Female,60.0,Yes,3+ m shark
2016,Unprovoked,USA,Female,46.0,No,nan
2016,Invalid,USA,Male,,No,nan
2016,Unprovoked,USA,Male,34.0,No,5' to 6' shark
2016,Invalid,CAPE VERDE,Male,60.0,No,Shark involvement not confirmed
2016,Unprovoked,NEW CALEDONIA,Female,69.0,Yes,Tiger Shark
2016,Unprovoked,USA,Male,26.0,No,Bull Shark
2016,Provoked,FRENCH POLYNESIA,Male,26.0,No,"Grey reef shark, Unknown m"
2016,Unprovoked,AUSTRALIA,Male,12.0,No,Wobbegong Shark
2016,Unprovoked,SOUTH AFRICA,Male,,No,White Shark
2016,Unprovoked,USA,Male,15.0,No,nan
2016,Unprovoked,INDONESIA,Male,24.0,No,Bull Shark
2016,Provoked,NEW ZEALAND,Male,39.0,No,Mako Shark
2016,Unprovoked,USA,Male,59.0,No,nan
2016,Provoked,USA,Female,23.0,No,Nurse Shark
2016,Unprovoked,USA,Male,48.0,No,Blacktip
2016,Unprovoked,USA,Female,11.0,No,nan
2016,Unprovoked,USA,Female,22.0,No,Bull Shark
2016,Unprovoked,USA,Female,57.0,No,nan
2016,Unprovoked,USA,Male,13.0,No,5' shark
2016,Unprovoked,USA,Female,52.0,No,nan
2016,Unprovoked,AUSTRALIA,Male,29.0,Yes,White Shark
2016,Unprovoked,NEW CALEDONIA,Male,,No,3 m shark
2016,Unprovoked,AUSTRALIA,Male,,,Bronze Whaler Shark
2016,Unprovoked,AUSTRALIA,Male,22.0,No,nan
2016,Unprovoked,USA,Male,,No,Shark involvement not confirmed
2016,Unprovoked,AUSTRALIA,Male,41.0,No,nan
2016,Unprovoked,AUSTRALIA,Male,40.0,No,nan
2016,Unprovoked,USA,Male,36.0,No,nan
2016,Unprovoked,AUSTRALIA,Male,31.0,No,3 m shark
2016,Unprovoked,AUSTRALIA,Male,11.0,No,Blacktip
2016,Unprovoked,AUSTRALIA,Male,,No,Wobbegong Shark
